"Pozo","Estado","Acuífero","Elev.Brocal","Latitud","Longitud","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"197-A","Baja California Sur","LA PAZ","9.00","24.098611","-110.352778","10.15","10.22","","","10.55","","10.24","10.3","9.86","9.42","9.7","10.56","10.61","10.6","10.56","11.32","11.47","10.6","11.45","","11.74","","","","","","11.52","","",""
"205","Baja California Sur","LA PAZ","25.00","24.053611","-110.359167","","","","29.2","29.45","","30","29.8","29.64","","30","30.64","30.28","30.45","33.4","31.02","31.2","30.45","35.66","","32.05","","","","","","42.16","","",""
"206","Baja California Sur","LA PAZ","33.00","24.034444","-110.356667","","","","","48.46","","38.91","","","39.56","","40.28","40.8","43.8","40.49","41.16","40.83","43.8","","","","","","","","","","","",""
"207-R","Baja California Sur","LA PAZ","29.00","24.043889","-110.368889","32.07","32.2","","32.59","32.88","","33.4","33.33","38.26","33.92","38.55","","","","","","","","37.11","","","","","","","","","","",""
"208","Baja California Sur","LA PAZ","32.00","24.036389","-110.364167","35.58","35.73","","36.18","36.41","","36.96","36.98","37.16","37.6","37.99","38.02","38","38.08","39.15","38.8","38.74","38.08","39.09","","37.39","","","","","","","","",""
"209","Baja California Sur","LA PAZ","38.00","24.027222","-110.368611","41.56","","","","","","","42.63","42.78","43.13","","43.34","44.26","43.85","44.64","44.4","44.61","43.85","56.8","","","","","","","","59.32","","",""
"211","Baja California Sur","LA PAZ","22.00","24.068333","-110.370278","21.14","21.37","","21.6","","","22.32","22.66","22.79","22.38","22.59","","22.79","","22.84","","25.33","","31.77","","24.72","","","","","","","","",""
"216","Baja California Sur","LA PAZ","32.00","24.0575","-110.398611","1","","","","","","","","","34.03","","35.02","34.21","34.25","","35","35.55","34.25","35.25","","","","","","","","19.42","","",""
"217-R","Baja California Sur","LA PAZ","19.00","24.070278","-110.3975","18.81","18.39","","18.95","19.53","","","20.12","25.94","20.41","","21.12","20.54","20.78","21.06","21.88","","20.78","21.7","","22.14","","","","","","","","",""
"221","Baja California Sur","LA PAZ","15.00","24.076028","-110.377472","15.4","15.54","","16.05","16.16","","","12.98","16.08","16.3","16.38","16.51","","16.55","","17.38","","16.55","","","","","","","","","","","",""
"228-A","Baja California Sur","LA PAZ","7.00","24.090833","-110.400278","6.35","6.72","","6.49","6.9","","7.52","7.3","7.37","7.51","7.28","7.59","6.82","7.16","7.49","8.02","7.47","7.16","7.32","","7.8","","","","","","10.02","","",""
"242-R","Baja California Sur","LA PAZ","13.00","24.085278","-110.373889","13.2","13.67","","13.81","13.82","","13.65","13.64","13.11","13.53","13.83","13.8","13.89","13.82","13.82","14.49","13.6","13.82","15.04","","15.44","","","","","","","","",""
"243","Baja California Sur","LA PAZ","13.00","24.087222","-110.370556","13.12","12.5","","13.85","14.04","14.36","13.74","14","12.13","14.48","23.15","14.25","14.11","13.73","13.82","14.2","13.62","13.73","14.36","","14.84","","","","","","","","",""
"248-R","Baja California Sur","LA PAZ","30.00","24.044722","-110.3575","","","","32.68","33.8","","35.89","","40.11","37.04","40.03","37.8","40.17","","38.35","","31.69","","","","33.38","","","","","","13.99","","",""
"252","Baja California Sur","LA PAZ","10.00","24.089167","-110.380556","9.85","9.85","","","10.16","","","","9.83","7.95","10.08","10.51","10.35","10.24","10.54","10.27","10.5","10.24","","","10.39","","","","","","10.12","","",""
"253","Baja California Sur","LA PAZ","5.00","24.092222","-110.398611","","","","","","","","","","","","16.61","5.22","6.48","6.33","7.6","6.44","6.48","6.29","","6.46","","","","","","6","","",""
"26","Baja California Sur","LA PAZ","6.95","24.18467","-110.4925","","7.77","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"326","Baja California Sur","LA PAZ","20.00","24.082222","-110.407778","19.24","19.14","","19.21","20.28","","16.42","16.54","19.87","20.17","20.1","20.82","24.86","20.54","21.09","21.57","21.34","20.54","21.66","","21.93","","","","","","","","",""
"368","Baja California Sur","LA PAZ","11.00","24.102222","-110.418333","11.25","11.3","","11.4","11.51","","","11.94","11.53","13.15","11.87","12.43","12.04","12.72","12.25","12.53","12.15","12.72","12.12","","15.58","","","","","","","","",""
"378-R","Baja California Sur","LA PAZ","25.00","24.053611","-110.372778","27.22","27.32","","27.78","28.06","28.29","35.55","28.68","28.12","29.2","29.8","29.4","","29.17","29.42","30.58","30","29.17","30.98","","","","","","","","","","",""
"379","Baja California Sur","LA PAZ","13.00","24.099167","-110.416944","12.85","12.8","","12.85","13.27","","13.49","13.53","13.55","13.28","13.24","20.81","13.9","13.7","13.92","14.18","14.32","13.7","14.75","","","","","","","","","","",""
"380-R","Baja California Sur","LA PAZ","38.00","24.040833","-110.383889","","","","","40.4","","41.31","","40.91","41.5","","41.89","","41.65","41.47","42.45","42.3","41.65","42.48","","42.9","","","","","","44.3","","",""
"381-R","Baja California Sur","LA PAZ","39.00","24.069444","-110.413889","39.33","38.97","","39.41","39.95","","40.49","40.79","40.21","40.36","35.58","39.36","39.44","40.05","40.45","40.52","40.69","40.05","","","40.27","","","","","","","","",""
"384","Baja California Sur","LA PAZ","34.00","24.0825","-110.419167","34.7","34.51","","34.81","35.22","","35.46","35.55","35.46","36.21","35.54","35.53","35.88","35.79","36.29","36.6","36.45","35.79","36.95","","35.87","","","","","","","","",""
"385","Baja California Sur","LA PAZ","17.00","24.085556","-110.408056","15.32","15.37","","15.3","16.08","","20.36","20.71","15.85","16.55","16.45","16.51","16.72","16.64","17.26","17.58","17.15","16.64","17.36","","17.81","","","","","","17.96","","",""
"391","Baja California Sur","LA PAZ","30.00","24.053056","-110.383611","30.18","","","31.1","35.62","","","","","32.35","","39","32.7","","33.21","","31.4","","33.69","","26.26","","","","","","","","",""
"400","Baja California Sur","LA PAZ","55.00","24.015556","-110.390278","","","","","40.45","","60.22","60.23","60.41","61.5","","61.89","","61.89","","","","61.89","","","","","","","","","","","",""
"403","Baja California Sur","LA PAZ","33.00","24.038333","-110.37","34.54","","","35.2","35.42","","36.27","36.37","","37.27","32.26","37.74","37.6","37.4","38.13","38.7","38.3","37.4","","","39.07","","","","","","39.15","","",""
"405","Baja California Sur","LA PAZ","38.00","24.063056","-110.411111","38.9","38.68","","39.58","40.2","","40.02","37.42","37.98","39.93","35.53","","40.67","40.2","41","40.69","40.9","40.2","","","41.38","","","","","","26.1","","",""
"406","Baja California Sur","LA PAZ","14.00","24.089444","-110.408889","13.28","13.2","","13.31","13.82","14.74","14.22","14.45","13.63","14.32","15.21","14.78","14.71","14.4","14.95","15.42","15.04","14.4","15.54","","","","","","","","15.73","","",""
"407","Baja California Sur","LA PAZ","18.00","24.075","-110.398611","","","","","16.07","","16.12","","16.07","16.64","17.24","","16.57","17.16","17.34","17.92","","17.16","17.85","","18.21","","","","","","","","",""
"408","Baja California Sur","LA PAZ","11.00","24.077778","-110.398889","11.2","11.75","","11.6","13.08","","12.77","12.49","13.7","14.2","14.17","14.24","14.06","13.3","13.74","14.04","14.07","13.3","15.07","","15.39","","","","","","","","",""
"409","Baja California Sur","LA PAZ","66.00","24.018611","-110.400278","77.07","68.23","","","69.04","68.84","","","70.28","70.7","66.23","70.61","","","70.52","71.25","71.71","","71.74","","72.37","","","","","","","","",""
"415","Baja California Sur","LA PAZ","40.00","24.108333","-110.291667","","","","","37.22","","","","31.5","","","","","43.1","","41.97","","43.1","","","37.9","","","","","","39.01","","",""
"416","Baja California Sur","LA PAZ","45.00","24.1225","-110.299167","","","","","43.47","","39.77","37.63","38.32","35.12","39.74","38.95","34.8","45","41.4","42.6","43.45","45","46.48","","43.6","","","","","","44.04","","",""
"419","Baja California Sur","LA PAZ","13.00","24.112417","-110.328147","","","","","","","13.71","","","12.05","12.67","12.9","12.74","12.8","13.98","13.94","12.2","12.8","14.29","","","","","","","","","","",""
"422","Baja California Sur","LA PAZ","37.00","24.070694","-110.327419","40.8","40.84","","40.73","41.68","","","","","40.7","","","","","","","","","51.58","","","","","","","","35.42","","",""
"Alvaro Obregon","Baja California Sur","LA PAZ","415.00","23.863611","-110.168056","","","","","","","","","","","","","","","1.3","","","","","","","","","","","","1.9","","",""
"BOLA DE FUEGO","Baja California Sur","LA PAZ","29.00","24.056667","-110.392222","","","","","","","","","","","","31.7","31.9","31.49","31.96","32.2","32.22","31.49","32.41","","32.21","","","","","","35.01","","",""
"BUEN SUR","Baja California Sur","LA PAZ","198.00","23.929278","-110.255333","1","","","","","","","","","18.27","16.55","","16.31","18.7","19.05","20.04","20.18","18.7","17.4","","17.54","","","","","","18.79","","",""
"El Mauto","Baja California Sur","LA PAZ","104.00","23.923866","-110.339998","","","","","","","","","","","","","","","","","","","78.45","","83.98","","","","","","53.05","","",""
"EL PALMAR","Baja California Sur","LA PAZ","194.00","23.932528","-110.259556","1","","","","","","","","","25.9","","","22.1","20.9","22.51","23.67","24.57","20.9","","","23.22","","","","","","26.33","","",""
"Espridion Navarro Z.","Baja California Sur","LA PAZ","82.00","24.109444","-110.273611","","","","","","","","","","","","","","","57.45","","","","","","","","","","","","57.99","","",""
"Gilberto Chávez A.","Baja California Sur","LA PAZ","194.00","23.934222","-110.261194","","","","","","","","","","","","","","18.5","21.26","","","18.5","24.8","","21.93","","","","","","25.72","","",""
"GRANJA SAN MIGUEL","Baja California Sur","LA PAZ","8.00","24.091944","-110.402222","","","","","","","","","","","","","","","8.55","","","","7.95","","","","","","","","","","",""
"La Lagunilla","Baja California Sur","LA PAZ","38.25","24.02117","-110.355333","","45.02","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LA PAZ","Baja California Sur","LA PAZ","18.00","24.15236","-110.31827","","","","","","","","","","","","","","","13.87","","","","","","","","","","","","","","",""
"LA PAZ","Baja California Sur","LA PAZ","18.00","24.15424","-110.31734","","","","","","","","","","","","","","","14.44","","","","","","","","","","","","","","",""
"LOTE EMPALME 13","Baja California Sur","LA PAZ","58.00","24.072056","-110.312306","","","","","","","","","","","","59.16","","","62.44","63.68","","","","","","","","","","","","","",""
"Patricio Suarez A.","Baja California Sur","LA PAZ","215.00","23.93494","-110.24303","","","","","","","","","","","","","","17.2","17.26","","","17.2","20.99","","","","","","","","17.2","","",""
"S/N_1","Baja California Sur","LA PAZ","8.00","24.091944","-110.402222","","","","","7.38","","","7.81","7.4","7.86","7.65","8.39","7.73","7.63","","8.7","8.1","7.63","","","","","","","","","","","",""
"S/N_2","Baja California Sur","LA PAZ","38.00","24.028611","-110.373333","","","","","","","","","","41.62","","42.55","42.67","42.02","","42.92","43.45","42.02","43.5","","43.48","","","","","","","","",""
"S/N_3","Baja California Sur","LA PAZ","51.00","24.024167","-110.389444","1","","","","","","","","","53.51","","43.93","54.56","54.3","54.17","54.58","54.68","54.3","54.74","","","","","","","","","","",""
"S/N_4","Baja California Sur","LA PAZ","42.00","24.025833","-110.3825","1","","","","","","","","","46.22","","46.74","47","46.87","","47.17","47.43","46.87","50.24","","48.31","","","","","","57.82","","",""
"SAPA 1","Baja California Sur","LA PAZ","110.80","23.908291","-110.333516","","","","","","","","","","","","","","","","","","","81.44","","","","","","","","105.01","","",""
"SAPA 2","Baja California Sur","LA PAZ","106.64","23.916011","-110.336061","","","","","","","","","","","","","","","","","","","79.75","","","","","","","","98.45","","",""
"SAPA La Paz (San Pedro)","Baja California Sur","LA PAZ","190.00","23.929722","-110.263889","","","","","","","","","","","","","","34.47","53.75","","","34.47","78.79","","","","","","","","99.34","","",""
"Sapa No.10","Baja California Sur","LA PAZ","68.00","24.055","-110.315278","","","","","","","","","","","","","","","76.84","","","","79.3","","81.41","","","","","","","","",""
"Sapa No.11","Baja California Sur","LA PAZ","67.00","24.046389","-110.319722","","","","","","","","","","","","","","75.06","75.06","","","75.06","86.4","","","","","","","","","","",""
"Sapa No.12  R","Baja California Sur","LA PAZ","53.00","24.08","-110.3075","","","","","","","","","","","","","","","69.24","","","","79.72","","70.1","","","","","","","","",""
"Sapa No.14  R","Baja California Sur","LA PAZ","79.00","24.061667","-110.302222","","","","","","","","","","","","","","","83.92","","","","74.4","","121.62","","","","","","","","",""
"Sapa No.15","Baja California Sur","LA PAZ","94.00","24.0525","-110.301389","","","","","","","","","","","","","","102.56","102.56","","","102.56","","","","","","","","","","","",""
"Sapa No.15  BIS","Baja California Sur","LA PAZ","58.00","24.019722","-110.3375","","","","","","","","","","","","","","","63.81","","","","102.8","","63.86","","","","","","","","",""
"Sapa No.16","Baja California Sur","LA PAZ","78.00","24.040833","-110.314444","","","","","","","","","","","","","","90.27","90.27","","","90.27","","","103.5","","","","","","","","",""
"Sapa No.17 BIS","Baja California Sur","LA PAZ","58.00","24.033889","-110.329167","","","","","","","","","","","","","","","","","","","82.56","","97.22","","","","","","","","",""
"Sapa No.17 R","Baja California Sur","LA PAZ","62.00","24.03","-110.328333","","","","","","","","","","","","","","","88.04","","","","92.06","","95.6","","","","","","","","",""
"Sapa No.18","Baja California Sur","LA PAZ","55.00","24.009167","-110.346667","","","","","","","","","","","","","","","116.75","","","","119","","","","","","","","","","",""
"Sapa No.19","Baja California Sur","LA PAZ","102.00","24.04333","-110.29944","","","","","","","","","","","","","","119.65","119.65","","","119.65","116.11","","","","","","","","","","",""
"Sapa No.19  R","Baja California Sur","LA PAZ","102.00","24.015778","-110.309167","","","","","","","","","","","","","","","","","","","117.61","","","","","","","","","","",""
"Sapa No.2","Baja California Sur","LA PAZ","43.00","24.143056","-110.3025","","","","","","","","","","","","","","","51","","","","","","44.19","","","","","","","","",""
"Sapa No.2 R","Baja California Sur","LA PAZ","86.00","24.006111","-110.321667","","","","","","","","","","","","","","80.18","80.18","","","80.18","","","106.12","","","","","","","","",""
"Sapa No.21","Baja California Sur","LA PAZ","82.00","24.021667","-110.3175","","","","","","","","","","","","","","104.71","104.71","","","104.71","107.92","","112.3","","","","","","","","",""
"Sapa No.22","Baja California Sur","LA PAZ","72.00","24.011361","-110.329056","","","","","","","","","","","","","","101.74","101.74","","","101.74","107.97","","","","","","","","","","",""
"Sapa No.23  R","Baja California Sur","LA PAZ","62.00","24.002222","-110.34","","","","","","","","","","","","","","67.76","67.76","","","67.76","69.3","","","","","","","","","","",""
"Sapa No.24","Baja California Sur","LA PAZ","63.00","23.992722","-110.351167","","","","","","","","","","","","","","","","","","","84.77","","81.4","","","","","","","","",""
"Sapa No.25","Baja California Sur","LA PAZ","65.00","23.983333","-110.362222","","","","","","","","","","","","","","","70.55","","","","89.91","","95.7","","","","","","","","",""
"Sapa No.26","Baja California Sur","LA PAZ","75.00","23.974444","-110.371944","","","","","","","","","","","","","","","","","","","97.34","","95.26","","","","","","","","",""
"SAPA No.4 R","Baja California Sur","LA PAZ","76.00","23.994167","-110.332778","","","","","","","","","","","","","","79.46","79.46","","","79.46","109.13","","102.97","","","","","","","","",""
"Sapa No.6","Baja California Sur","LA PAZ","37.00","24.133611","-110.307222","","","","","","","","","","","","","","","28.43","","","","","","40.65","","","","","","","","",""
"SAPA No.6 R","Baja California Sur","LA PAZ","72.00","23.984722","-110.341389","","","","","","","","","","","","","","","","","","","74.88","","","","","","","","","","",""
"Sapa No.7","Baja California Sur","LA PAZ","57.00","24.138611","-110.294444","","","","","","","","","","","","","","","68.6","","","","88.74","","","","","","","","","","",""
"Sapa No.8","Baja California Sur","LA PAZ","59.00","24.071111","-110.306667","","","","","","","","","","","","","","78.47","78.47","","","78.47","","","","","","","","","","","",""
"Sapa No.9","Baja California Sur","LA PAZ","64.00","24.063056","-110.310833","","","","","","","","","","","","","","","79.78","","","","80.24","","80.28","","","","","","","","",""
"TEATRO CIUDAD","Baja California Sur","LA PAZ","22.00","24.14683","-110.3183","","","","","","","","","","","","","","","16.91","","","","","","","","","","","","","","",""
"TGM_1","Baja California Sur","LA PAZ","19.05","24.14417","-110.458","","21.3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
